1,SOVLGJY12A8C13FBED,223563,b'Call of the Mastodon',ARMQHX71187B9890D3,,b'Atlanta GA',,b'Mastodon',0,280.21506,5,0.555,173.205,5,0.12,b'Deep Sea Creature',2001
2,SOMZWCG12A8C13C480,300848,b'Fear Itself',ARD7TVE1187B99BFB1,,b'California - LA',,b'Casual',0,218.93179,1,0.736,92.198,4,0.778,"""bI Didn't Mean To""""""""""",0
3,SOCIWDW12A8C13D406,300822,b'Dimensions',ARMJAGH1187FB546F3,35.14968,b'Memphis TN',-90.04892,b'The Box Tops',0,148.03546,6,0.169,121.274,4,0.384,b'Soul Deep',1969
4,SOXVLOJ12AB0189215,514953,b'Las Numero 1 De La Sonora Santanera',ARKRRTF1187B9984DA,,b'',,b'Sonora Santanera',0,177.47546,8,0.643,100.07,1,0,b'Amor De Cabaret',0
5,SONHOTT12A8C13493C,287650,b'Friend Or Foe',AR7G5I41187FB4CE6C,,b'London England',,b'Adam Ant',0,233.40363,0,0.751,119.293,4,0,b'Something Girls',1982
6,SOFSOCN12A8C143F5D,611336,b'Muertos Vivos',ARXR32B1187FB57099,,b'',,b'Gob',0,209.60608,2,0.092,129.738,4,0.562,b'Face the Ashes',2007
7,SOYMRWW12A6D4FAB14,41838,b'Ordinary Day',ARKFYS91187B98E58F,,b'',,b'Jeff And Sheri Easter',0,267.7024,5,0.635,147.782,3,0.454,b'The Moon And I (Ordinary Day Album Version)',0
8,SOMJBYD12A6D4F8557,25824,b'Da Ghetto Psychic',ARD0S291187B9B7BF5,,b'Ohio',,b'Rated R',0,114.78159,1,0,111.787,1,0,b'Keepin It Real (Skit)',0
9,SOHKNRJ12A6701D1F8,8876,b'Gin & Phonic',AR10USD1187B99F3F1,,b'Burlington Ontario Canada',,b'Tweeterfriendly Music',0,189.57016,4,0,101.43,3,0.408,b'Drop of Rain',0
10,SOIAZJW12AB01853F1,358182,b'Pink World',AR8ZCNI1187B9A069B,,b'',,b'Planet P Project',0,269.81832,4,0.717,86.643,4,0.487,b'Pink World',1984
11,SOUDSGM12AC9618304,692313,b'Superinstrumental',ARNTLGG11E2835DDB9,,b'',,b'Clp',0,266.39628,7,0.053,114.041,4,0.878,b'Insatiable (Instrumental Version)',0
12,SOQHXMF12AB0182363,539081,b'I Need You',ARGSJW91187B9B1D6B,35.21962,b'North Carolina',-80.01955,b'JennyAnyKind',0,218.77506,5,0.354,146.765,1,0,b'Young Boy Blues',0
13,SOKEJEJ12A8C13E0D0,163874,b'The Way Home',ARC43071187B990240,,b'Wisner LA',,b'Wayne Watson',0,245.21098,7,0.07,117.975,4,0.835,b'The Urgency (LP Version)',0
14,SOMUYGI12AB0188633,575792,b'Placer & Castigo',ARL7K851187B99ACD2,,b'',,b'Andy Andy',0,226.35057,9,0.205,130.04,4,0,b'La Culpa',0
15,SORAMLE12AB017C8B0,815863,b'Arrivederci',ARHHO3O1187B989413,,b'',,b'Bob Azzam',0,191.84281,10,0,137.334,1,0.319,b'Auguri Cha Cha',0
16,SOBONFF12A6D4F84D8,25811,b'Dancing On The Ceiling',ARIK43K1187B9AE54C,,b'Beverly Hills CA',,b'Lionel Richie',0,307.3824,3,0.524,125.197,3,0.211,b'Tonight Will Be Alright',1986
17,SOHUOAP12A8AE488E9,135122,b'Outskirts',ARD842G1187B997376,43.64856,b'Toronto Ontario Canada',-79.38533,b'Blue Rodeo',0,491.12771,7,1,119.826,4,0.756,b'Floating',1987
18,SOUQQEA12A8C134B1B,149958,b'Cross Currents',ARIG6O41187B988BDD,37.16793,b'United States',-95.84502,b'Richard Souther',0,228.5971,8,0.041,127.756,5,0.579,b'High Tide',0
19,SOILPQQ12AB017E82A,535188,b'Panjtan Ka Ghulam',AR1ZHYZ1187FB3C717,,b'',,b'Faiz Ali Faiz',0,599.24853,6,0.06,99.273,4,0.158,b'Sohna Nee Sohna Data',0
20,SOXLBJT12A8C140925,372309,b'Gold',ARYKCQI1187FB3B18F,,b'',,b'Tesla',0,290.29832,7,0.725,150.062,4,0.931,b'Caught In A Dream',2004
21,SOZVMJI12AB01808AF,541101,b'Whatever Happened To Boredom?',ARNPAGP1241B9C7FD4,,b'',,b'lextrical',0,165.69424,7,0.011,138.331,4,0.127,b'Synthetic Dream',0
22,SOWTBJW12AC468AC6E,605134,b'1942-1952 Jimmy Wakely',ARQGYP71187FB44566,34.31109,b'Mineola AR',-94.02978,b'Jimmy Wakely',0,151.84934,1,0.799,86.186,3,0.929,b'Broken-Down Merry-Go-Round',0
